"Step","debug/lpl_local - _step","debug/lpl_local - _step__MIN","debug/lpl_local - _step__MAX","debug/lpl_local - Performance/linear_readout_acc","debug/lpl_local - Performance/linear_readout_acc__MIN","debug/lpl_local - Performance/linear_readout_acc__MAX"
"9401","662","662","662","0.4972","0.4972","0.4972"
"9480","667","667","667","0.5036","0.5036","0.5036"
"9559","673","673","673","0.504","0.504","0.504"
"9638","678","678","678","0.5038","0.5038","0.5038"
"9717","684","684","684","0.503","0.503","0.503"
"9796","689","689","689","0.5036","0.5036","0.5036"
"9875","695","695","695","0.5082","0.5082","0.5082"
"9954","701","701","701","0.5145","0.5145","0.5145"
"10033","706","706","706","0.5056","0.5056","0.5056"
"10112","712","712","712","0.5078","0.5078","0.5078"
"10191","717","717","717","0.5171","0.5171","0.5171"
"10270","723","723","723","0.5172","0.5172","0.5172"
"10349","728","728","728","0.5158","0.5158","0.5158"
"10428","734","734","734","0.516","0.516","0.516"
"10507","740","740","740","0.5161","0.5161","0.5161"
"10586","745","745","745","0.517","0.517","0.517"
"10665","751","751","751","0.52","0.52","0.52"
"10744","756","756","756","0.5204","0.5204","0.5204"
"10823","762","762","762","0.5229","0.5229","0.5229"
"10902","768","768","768","0.5251","0.5251","0.5251"
"10981","773","773","773","0.5234","0.5234","0.5234"
"11060","779","779","779","0.5279","0.5279","0.5279"
"11139","784","784","784","0.5247","0.5247","0.5247"
"11218","790","790","790","0.5286","0.5286","0.5286"
"11297","795","795","795","0.533","0.533","0.533"
"11376","801","801","801","0.5313","0.5313","0.5313"
"11455","807","807","807","0.5285","0.5285","0.5285"
"11534","812","812","812","0.5288","0.5288","0.5288"
"11613","818","818","818","0.5331","0.5331","0.5331"
"11692","823","823","823","0.5285","0.5285","0.5285"
"11771","829","829","829","0.5327","0.5327","0.5327"
"11850","835","835","835","0.5334","0.5334","0.5334"
"11929","840","840","840","0.5284","0.5284","0.5284"
"12008","846","846","846","0.5373","0.5373","0.5373"
"12087","851","851","851","0.538","0.538","0.538"
"12166","857","857","857","0.5347","0.5347","0.5347"
"12245","862","862","862","0.534","0.534","0.534"
"12324","868","868","868","0.5389","0.5389","0.5389"
"12403","874","874","874","0.5379","0.5379","0.5379"
"12482","879","879","879","0.5422","0.5422","0.5422"
"12561","885","885","885","0.5362","0.5362","0.5362"
"12640","890","890","890","0.5432","0.5432","0.5432"
