"Step","debug/lpl_local - _step","debug/lpl_local - _step__MIN","debug/lpl_local - _step__MAX","debug/lpl_local - Performance/linear_readout_acc","debug/lpl_local - Performance/linear_readout_acc__MIN","debug/lpl_local - Performance/linear_readout_acc__MAX"
"36893","2603","2603","2603","0.592","0.592","0.592"
"36972","2609","2609","2609","0.5915","0.5915","0.5915"
"37051","2615","2615","2615","0.593","0.593","0.593"
"37130","2620","2620","2620","0.5911","0.5911","0.5911"
"37209","2626","2626","2626","0.5956","0.5956","0.5956"
"37288","2631","2631","2631","0.5863","0.5863","0.5863"
"37367","2637","2637","2637","0.5922","0.5922","0.5922"
"37446","2642","2642","2642","0.5887","0.5887","0.5887"
"37525","2648","2648","2648","0.5921","0.5921","0.5921"
"37604","2654","2654","2654","0.589","0.589","0.589"
"37683","2659","2659","2659","0.5909","0.5909","0.5909"
"37762","2665","2665","2665","0.5945","0.5945","0.5945"
"37841","2670","2670","2670","0.5951","0.5951","0.5951"
"37920","2676","2676","2676","0.5859","0.5859","0.5859"
"37999","2681","2681","2681","0.5906","0.5906","0.5906"
"38078","2687","2687","2687","0.5892","0.5892","0.5892"
"38157","2693","2693","2693","0.5912","0.5912","0.5912"
"38236","2698","2698","2698","0.5882","0.5882","0.5882"
"38315","2704","2704","2704","0.5921","0.5921","0.5921"
"38394","2709","2709","2709","0.5937","0.5937","0.5937"
"38473","2715","2715","2715","0.5902","0.5902","0.5902"
"38552","2721","2721","2721","0.5873","0.5873","0.5873"
"38631","2726","2726","2726","0.5981","0.5981","0.5981"
"38710","2732","2732","2732","0.5924","0.5924","0.5924"
"38789","2737","2737","2737","0.5959","0.5959","0.5959"
"38868","2743","2743","2743","0.5949","0.5949","0.5949"
"38947","2748","2748","2748","0.5915","0.5915","0.5915"
"39026","2754","2754","2754","0.594","0.594","0.594"
"39105","2760","2760","2760","0.5954","0.5954","0.5954"
"39184","2765","2765","2765","0.5889","0.5889","0.5889"
"39263","2771","2771","2771","0.5968","0.5968","0.5968"
"39342","2776","2776","2776","0.5887","0.5887","0.5887"
"39421","2782","2782","2782","0.5917","0.5917","0.5917"
"39500","2788","2788","2788","0.5962","0.5962","0.5962"
"39579","2793","2793","2793","0.5927","0.5927","0.5927"
"39658","2799","2799","2799","0.5936","0.5936","0.5936"
"39737","2804","2804","2804","0.5939","0.5939","0.5939"
"39816","2810","2810","2810","0.594","0.594","0.594"
"39895","2815","2815","2815","0.5933","0.5933","0.5933"
"39974","2821","2821","2821","0.5914","0.5914","0.5914"
"40053","2827","2827","2827","0.59","0.59","0.59"
"40132","2832","2832","2832","0.5913","0.5913","0.5913"
"40211","2838","2838","2838","0.5969","0.5969","0.5969"
"40290","2843","2843","2843","0.5935","0.5935","0.5935"
"40369","2849","2849","2849","0.5919","0.5919","0.5919"
"40448","2854","2854","2854","0.5906","0.5906","0.5906"
"40527","2860","2860","2860","0.5969","0.5969","0.5969"
"40606","2866","2866","2866","0.5957","0.5957","0.5957"
"40685","2871","2871","2871","0.5967","0.5967","0.5967"
"40764","2877","2877","2877","0.5888","0.5888","0.5888"
"40843","2882","2882","2882","0.5946","0.5946","0.5946"
"40922","2888","2888","2888","0.5935","0.5935","0.5935"
"41001","2894","2894","2894","0.5906","0.5906","0.5906"
"41080","2899","2899","2899","0.5966","0.5966","0.5966"
"41159","2905","2905","2905","0.5999","0.5999","0.5999"
"41238","2910","2910","2910","0.5919","0.5919","0.5919"
"41317","2916","2916","2916","0.599","0.599","0.599"
"41396","2921","2921","2921","0.5919","0.5919","0.5919"
"41475","2927","2927","2927","0.5966","0.5966","0.5966"
"41554","2933","2933","2933","0.5983","0.5983","0.5983"
"41633","2938","2938","2938","0.5963","0.5963","0.5963"
"41712","2944","2944","2944","0.5967","0.5967","0.5967"
"41791","2949","2949","2949","0.5947","0.5947","0.5947"
"41870","2955","2955","2955","0.5979","0.5979","0.5979"
"41949","2960","2960","2960","0.5946","0.5946","0.5946"
"42028","2966","2966","2966","0.5997","0.5997","0.5997"
"42107","2972","2972","2972","0.5936","0.5936","0.5936"
"42186","2977","2977","2977","0.6001","0.6001","0.6001"
"42265","2983","2983","2983","0.5943","0.5943","0.5943"
"42344","2988","2988","2988","0.594","0.594","0.594"
"42423","2994","2994","2994","0.5974","0.5974","0.5974"
"42502","3000","3000","3000","0.6009","0.6009","0.6009"
"42581","3005","3005","3005","0.5997","0.5997","0.5997"
"42660","3011","3011","3011","0.5978","0.5978","0.5978"
"42739","3016","3016","3016","0.5944","0.5944","0.5944"
"42818","3022","3022","3022","0.5967","0.5967","0.5967"
"42897","3027","3027","3027","0.5973","0.5973","0.5973"
"42976","3033","3033","3033","0.5937","0.5937","0.5937"
"43055","3039","3039","3039","0.5956","0.5956","0.5956"
"43134","3044","3044","3044","0.5987","0.5987","0.5987"
"43213","3050","3050","3050","0.5998","0.5998","0.5998"
"43292","3055","3055","3055","0.6008","0.6008","0.6008"
"43371","3061","3061","3061","0.6005","0.6005","0.6005"
"43450","3067","3067","3067","0.5944","0.5944","0.5944"
"43529","3072","3072","3072","0.5966","0.5966","0.5966"
"43608","3078","3078","3078","0.6003","0.6003","0.6003"
"43687","3083","3083","3083","0.5942","0.5942","0.5942"
"43766","3089","3089","3089","0.6024","0.6024","0.6024"
"43845","3094","3094","3094","0.5991","0.5991","0.5991"
"43924","3100","3100","3100","0.5979","0.5979","0.5979"
"44003","3106","3106","3106","0.5999","0.5999","0.5999"
"44082","3111","3111","3111","0.5997","0.5997","0.5997"
"44161","3117","3117","3117","0.5988","0.5988","0.5988"
"44240","3122","3122","3122","0.5976","0.5976","0.5976"
"44319","3128","3128","3128","0.5984","0.5984","0.5984"
"44398","3133","3133","3133","0.5981","0.5981","0.5981"
"44477","3139","3139","3139","0.598","0.598","0.598"
"44556","3145","3145","3145","0.5984","0.5984","0.5984"
"44635","3150","3150","3150","0.5984","0.5984","0.5984"
"44714","3156","3156","3156","0.5969","0.5969","0.5969"
"44793","3161","3161","3161","0.6034","0.6034","0.6034"
"44872","3167","3167","3167","0.6009","0.6009","0.6009"
"44951","3173","3173","3173","0.6023","0.6023","0.6023"
"45030","3178","3178","3178","0.6007","0.6007","0.6007"
"45109","3184","3184","3184","0.5906","0.5906","0.5906"
"45188","3189","3189","3189","0.6026","0.6026","0.6026"
"45267","3195","3195","3195","0.6028","0.6028","0.6028"
"45346","3200","3200","3200","0.6047","0.6047","0.6047"
"45425","3206","3206","3206","0.5982","0.5982","0.5982"
"45504","3212","3212","3212","0.5962","0.5962","0.5962"
"45583","3217","3217","3217","0.5962","0.5962","0.5962"
"45662","3223","3223","3223","0.6045","0.6045","0.6045"
"45741","3228","3228","3228","0.6048","0.6048","0.6048"
"45820","3234","3234","3234","0.5994","0.5994","0.5994"
"45899","3239","3239","3239","0.6036","0.6036","0.6036"
"45978","3245","3245","3245","0.5964","0.5964","0.5964"
"46057","3251","3251","3251","0.597","0.597","0.597"
"46136","3256","3256","3256","0.601","0.601","0.601"
"46215","3262","3262","3262","0.5988","0.5988","0.5988"
"46294","3267","3267","3267","0.6002","0.6002","0.6002"
"46373","3273","3273","3273","0.5989","0.5989","0.5989"
"46452","3279","3279","3279","0.5983","0.5983","0.5983"
"46531","3284","3284","3284","0.6031","0.6031","0.6031"
"46610","3290","3290","3290","0.5943","0.5943","0.5943"
"46689","3295","3295","3295","0.5986","0.5986","0.5986"
"46768","3301","3301","3301","0.5953","0.5953","0.5953"
"46847","3306","3306","3306","0.5993","0.5993","0.5993"
"46926","3312","3312","3312","0.6023","0.6023","0.6023"
"47005","3318","3318","3318","0.6","0.6","0.6"
"47084","3323","3323","3323","0.6015","0.6015","0.6015"
"47163","3329","3329","3329","0.597","0.597","0.597"
"47242","3334","3334","3334","0.6027","0.6027","0.6027"
"47321","3340","3340","3340","0.6033","0.6033","0.6033"
"47400","3346","3346","3346","0.6034","0.6034","0.6034"
"47479","3351","3351","3351","0.6012","0.6012","0.6012"
"47558","3357","3357","3357","0.6023","0.6023","0.6023"
"47637","3362","3362","3362","0.6006","0.6006","0.6006"
"47716","3368","3368","3368","0.6022","0.6022","0.6022"
"47795","3373","3373","3373","0.6","0.6","0.6"
"47874","3379","3379","3379","0.5984","0.5984","0.5984"
"47953","3385","3385","3385","0.6014","0.6014","0.6014"
"48032","3390","3390","3390","0.6034","0.6034","0.6034"
"48111","3396","3396","3396","0.603","0.603","0.603"
"48190","3401","3401","3401","0.6009","0.6009","0.6009"
"48269","3407","3407","3407","0.6031","0.6031","0.6031"
"48348","3412","3412","3412","0.6012","0.6012","0.6012"
"48427","3418","3418","3418","0.6017","0.6017","0.6017"
"48506","3424","3424","3424","0.5979","0.5979","0.5979"
"48585","3429","3429","3429","0.5991","0.5991","0.5991"
"48664","3435","3435","3435","0.5994","0.5994","0.5994"
"48743","3440","3440","3440","0.5959","0.5959","0.5959"
"48822","3446","3446","3446","0.6","0.6","0.6"
"48901","3452","3452","3452","0.6046","0.6046","0.6046"
"48980","3457","3457","3457","0.6013","0.6013","0.6013"
"49059","3463","3463","3463","0.6052","0.6052","0.6052"
"49138","3468","3468","3468","0.6014","0.6014","0.6014"
"49217","3474","3474","3474","0.5986","0.5986","0.5986"
"49296","3479","3479","3479","0.5984","0.5984","0.5984"
"49375","3485","3485","3485","0.5987","0.5987","0.5987"
"49454","3491","3491","3491","0.6021","0.6021","0.6021"
"49533","3496","3496","3496","0.6034","0.6034","0.6034"
"49612","3502","3502","3502","0.6019","0.6019","0.6019"
"49691","3507","3507","3507","0.6034","0.6034","0.6034"
"49770","3513","3513","3513","0.6018","0.6018","0.6018"
"49849","3518","3518","3518","0.604","0.604","0.604"
"49928","3524","3524","3524","0.6012","0.6012","0.6012"
"50007","3530","3530","3530","0.5999","0.5999","0.5999"
"50086","3535","3535","3535","0.6028","0.6028","0.6028"
"50165","3541","3541","3541","0.6049","0.6049","0.6049"
"50244","3546","3546","3546","0.6027","0.6027","0.6027"
"50323","3552","3552","3552","0.6039","0.6039","0.6039"
"50402","3558","3558","3558","0.6022","0.6022","0.6022"
"50481","3563","3563","3563","0.6063","0.6063","0.6063"
"50560","3569","3569","3569","0.6044","0.6044","0.6044"
"50639","3574","3574","3574","0.6021","0.6021","0.6021"
"50718","3580","3580","3580","0.6005","0.6005","0.6005"
"50797","3585","3585","3585","0.6018","0.6018","0.6018"
"50876","3591","3591","3591","0.6073","0.6073","0.6073"
"50955","3597","3597","3597","0.6057","0.6057","0.6057"
"51034","3602","3602","3602","0.601","0.601","0.601"
"51113","3608","3608","3608","0.6043","0.6043","0.6043"
"51192","3613","3613","3613","0.6069","0.6069","0.6069"
"51271","3619","3619","3619","0.6053","0.6053","0.6053"
"51350","3625","3625","3625","0.6028","0.6028","0.6028"
"51429","3630","3630","3630","0.6044","0.6044","0.6044"
"51508","3636","3636","3636","0.6084","0.6084","0.6084"
"51587","3641","3641","3641","0.6006","0.6006","0.6006"
"51666","3647","3647","3647","0.5982","0.5982","0.5982"
"51745","3652","3652","3652","0.603","0.603","0.603"
"51824","3658","3658","3658","0.603","0.603","0.603"
"51903","3664","3664","3664","0.6008","0.6008","0.6008"
"51982","3669","3669","3669","0.6003","0.6003","0.6003"
"52061","3675","3675","3675","0.6002","0.6002","0.6002"
"52140","3680","3680","3680","0.605","0.605","0.605"
"52219","3686","3686","3686","0.5998","0.5998","0.5998"
"52298","3691","3691","3691","0.6012","0.6012","0.6012"
"52377","3697","3697","3697","0.6043","0.6043","0.6043"
"52456","3703","3703","3703","0.5968","0.5968","0.5968"
"52535","3708","3708","3708","0.6011","0.6011","0.6011"
"52614","3714","3714","3714","0.6048","0.6048","0.6048"
"52693","3719","3719","3719","0.6051","0.6051","0.6051"
"52772","3725","3725","3725","0.5993","0.5993","0.5993"
"52851","3731","3731","3731","0.6077","0.6077","0.6077"
"52930","3736","3736","3736","0.6063","0.6063","0.6063"
"53009","3742","3742","3742","0.603","0.603","0.603"
"53088","3747","3747","3747","0.6079","0.6079","0.6079"
"53167","3753","3753","3753","0.6068","0.6068","0.6068"
"53246","3758","3758","3758","0.6045","0.6045","0.6045"
"53325","3764","3764","3764","0.6058","0.6058","0.6058"
"53404","3770","3770","3770","0.6016","0.6016","0.6016"
"53483","3775","3775","3775","0.6008","0.6008","0.6008"
"53562","3781","3781","3781","0.6062","0.6062","0.6062"
"53641","3786","3786","3786","0.6032","0.6032","0.6032"
"53720","3792","3792","3792","0.6009","0.6009","0.6009"
"53799","3797","3797","3797","0.6027","0.6027","0.6027"
"53878","3803","3803","3803","0.6046","0.6046","0.6046"
"53957","3809","3809","3809","0.6037","0.6037","0.6037"
"54036","3814","3814","3814","0.6078","0.6078","0.6078"
"54115","3820","3820","3820","0.6021","0.6021","0.6021"
"54194","3825","3825","3825","0.6012","0.6012","0.6012"
"54273","3831","3831","3831","0.6028","0.6028","0.6028"
"54352","3837","3837","3837","0.6013","0.6013","0.6013"
"54431","3842","3842","3842","0.6047","0.6047","0.6047"
"54510","3848","3848","3848","0.6068","0.6068","0.6068"
"54589","3853","3853","3853","0.605","0.605","0.605"
"54668","3859","3859","3859","0.6049","0.6049","0.6049"
"54747","3864","3864","3864","0.605","0.605","0.605"
"54826","3870","3870","3870","0.5994","0.5994","0.5994"
"54905","3876","3876","3876","0.6098","0.6098","0.6098"
"54984","3881","3881","3881","0.5993","0.5993","0.5993"
"55063","3887","3887","3887","0.6028","0.6028","0.6028"
"55142","3892","3892","3892","0.5987","0.5987","0.5987"
"55221","3898","3898","3898","0.6002","0.6002","0.6002"
"55300","3904","3904","3904","0.6016","0.6016","0.6016"
"55379","3909","3909","3909","0.6058","0.6058","0.6058"
"55458","3915","3915","3915","0.6019","0.6019","0.6019"
"55537","3920","3920","3920","0.6061","0.6061","0.6061"
"55616","3926","3926","3926","0.6028","0.6028","0.6028"
"55695","3931","3931","3931","0.6026","0.6026","0.6026"
"55774","3937","3937","3937","0.6086","0.6086","0.6086"
"55853","3943","3943","3943","0.6013","0.6013","0.6013"
"55932","3948","3948","3948","0.6028","0.6028","0.6028"
"56011","3954","3954","3954","0.6061","0.6061","0.6061"
"56090","3959","3959","3959","0.6023","0.6023","0.6023"
"56169","3965","3965","3965","0.6047","0.6047","0.6047"
"56248","3970","3970","3970","0.6023","0.6023","0.6023"
"56327","3976","3976","3976","0.6049","0.6049","0.6049"
"56406","3982","3982","3982","0.5998","0.5998","0.5998"
"56485","3987","3987","3987","0.6016","0.6016","0.6016"
"56564","3993","3993","3993","0.602","0.602","0.602"
"56643","3998","3998","3998","0.6045","0.6045","0.6045"
"56722","4004","4004","4004","0.6043","0.6043","0.6043"
"56801","4010","4010","4010","0.6035","0.6035","0.6035"
"56880","4015","4015","4015","0.6049","0.6049","0.6049"
"56959","4021","4021","4021","0.6053","0.6053","0.6053"
"57038","4026","4026","4026","0.6039","0.6039","0.6039"
"57117","4032","4032","4032","0.6045","0.6045","0.6045"
"57196","4037","4037","4037","0.6077","0.6077","0.6077"
"57275","4043","4043","4043","0.6004","0.6004","0.6004"
"57354","4049","4049","4049","0.6069","0.6069","0.6069"
"57433","4054","4054","4054","0.6055","0.6055","0.6055"
"57512","4060","4060","4060","0.6047","0.6047","0.6047"
"57591","4065","4065","4065","0.6041","0.6041","0.6041"
"57670","4071","4071","4071","0.6043","0.6043","0.6043"
"57749","4076","4076","4076","0.6068","0.6068","0.6068"
"57828","4082","4082","4082","0.6071","0.6071","0.6071"
"57907","4088","4088","4088","0.6062","0.6062","0.6062"
"57986","4093","4093","4093","0.606","0.606","0.606"
"58065","4099","4099","4099","0.604","0.604","0.604"
"58144","4104","4104","4104","0.6062","0.6062","0.6062"
"58223","4110","4110","4110","0.6055","0.6055","0.6055"
"58302","4116","4116","4116","0.6061","0.6061","0.6061"
"58381","4121","4121","4121","0.6067","0.6067","0.6067"
"58460","4127","4127","4127","0.601","0.601","0.601"
"58539","4132","4132","4132","0.6033","0.6033","0.6033"
"58618","4138","4138","4138","0.5991","0.5991","0.5991"
"58697","4143","4143","4143","0.6041","0.6041","0.6041"
"58776","4149","4149","4149","0.6021","0.6021","0.6021"
"58855","4155","4155","4155","0.605","0.605","0.605"
"58934","4160","4160","4160","0.6039","0.6039","0.6039"
"59013","4166","4166","4166","0.6063","0.6063","0.6063"
"59092","4171","4171","4171","0.6065","0.6065","0.6065"
"59171","4177","4177","4177","0.603","0.603","0.603"
"59250","4183","4183","4183","0.6059","0.6059","0.6059"
"59329","4188","4188","4188","0.6059","0.6059","0.6059"
"59408","4194","4194","4194","0.6034","0.6034","0.6034"
"59487","4199","4199","4199","0.609","0.609","0.609"
"59566","4205","4205","4205","0.603","0.603","0.603"
"59645","4210","4210","4210","0.6073","0.6073","0.6073"
"59724","4216","4216","4216","0.605","0.605","0.605"
"59803","4222","4222","4222","0.6036","0.6036","0.6036"
"59882","4227","4227","4227","0.6061","0.6061","0.6061"
"59961","4233","4233","4233","0.6032","0.6032","0.6032"
"60040","4238","4238","4238","0.6045","0.6045","0.6045"
"60119","4244","4244","4244","0.6029","0.6029","0.6029"
"60198","4249","4249","4249","0.6069","0.6069","0.6069"
"60277","4255","4255","4255","0.5987","0.5987","0.5987"
"60356","4261","4261","4261","0.6025","0.6025","0.6025"
"60435","4266","4266","4266","0.6037","0.6037","0.6037"
"60514","4272","4272","4272","0.6037","0.6037","0.6037"
"60593","4277","4277","4277","0.6067","0.6067","0.6067"
"60672","4283","4283","4283","0.6003","0.6003","0.6003"
"60751","4289","4289","4289","0.6074","0.6074","0.6074"
"60830","4294","4294","4294","0.6024","0.6024","0.6024"
"60909","4300","4300","4300","0.6036","0.6036","0.6036"
"60988","4305","4305","4305","0.6085","0.6085","0.6085"
"61067","4311","4311","4311","0.6061","0.6061","0.6061"
"61146","4316","4316","4316","0.6045","0.6045","0.6045"
"61225","4322","4322","4322","0.6061","0.6061","0.6061"
"61304","4328","4328","4328","0.6","0.6","0.6"
"61383","4333","4333","4333","0.6094","0.6094","0.6094"
"61462","4339","4339","4339","0.606","0.606","0.606"
"61541","4344","4344","4344","0.6009","0.6009","0.6009"
"61620","4350","4350","4350","0.6027","0.6027","0.6027"
"61699","4355","4355","4355","0.6041","0.6041","0.6041"
"61778","4361","4361","4361","0.6046","0.6046","0.6046"
"61857","4367","4367","4367","0.6067","0.6067","0.6067"
"61936","4372","4372","4372","0.6022","0.6022","0.6022"
"62015","4378","4378","4378","0.605","0.605","0.605"
"62094","4383","4383","4383","0.6041","0.6041","0.6041"
"62173","4389","4389","4389","0.6037","0.6037","0.6037"
"62252","4395","4395","4395","0.6042","0.6042","0.6042"
"62331","4400","4400","4400","0.6063","0.6063","0.6063"
"62410","4406","4406","4406","0.6031","0.6031","0.6031"
"62489","4411","4411","4411","0.6044","0.6044","0.6044"
"62568","4417","4417","4417","0.6048","0.6048","0.6048"
"62647","4422","4422","4422","0.5991","0.5991","0.5991"
"62726","4428","4428","4428","0.6045","0.6045","0.6045"
"62805","4434","4434","4434","0.6022","0.6022","0.6022"
"62884","4439","4439","4439","0.6017","0.6017","0.6017"
"62963","4445","4445","4445","0.6066","0.6066","0.6066"
"63042","4450","4450","4450","0.6032","0.6032","0.6032"
"63121","4456","4456","4456","0.6054","0.6054","0.6054"
"63200","4462","4462","4462","0.6095","0.6095","0.6095"
