"Step","debug/lpl_local_top-down_errCorr_a2.0_1T - _step","debug/lpl_local_top-down_errCorr_a2.0_1T - _step__MIN","debug/lpl_local_top-down_errCorr_a2.0_1T - _step__MAX","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MIN","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MAX"
"36182","2553","2553","2553","0.5995","0.5995","0.5995"
"36261","2559","2559","2559","0.5988","0.5988","0.5988"
"36340","2564","2564","2564","0.601","0.601","0.601"
"36419","2570","2570","2570","0.6002","0.6002","0.6002"
"36498","2575","2575","2575","0.6014","0.6014","0.6014"
"36577","2581","2581","2581","0.6005","0.6005","0.6005"
"36656","2587","2587","2587","0.6012","0.6012","0.6012"
"36735","2592","2592","2592","0.6034","0.6034","0.6034"
"36814","2598","2598","2598","0.5968","0.5968","0.5968"
"36893","2603","2603","2603","0.5994","0.5994","0.5994"
"36972","2609","2609","2609","0.5994","0.5994","0.5994"
"37051","2615","2615","2615","0.6015","0.6015","0.6015"
"37130","2620","2620","2620","0.6051","0.6051","0.6051"
"37209","2626","2626","2626","0.5984","0.5984","0.5984"
"37288","2631","2631","2631","0.6001","0.6001","0.6001"
"37367","2637","2637","2637","0.6055","0.6055","0.6055"
"37446","2642","2642","2642","0.605","0.605","0.605"
"37525","2648","2648","2648","0.6061","0.6061","0.6061"
"37604","2654","2654","2654","0.6014","0.6014","0.6014"
"37683","2659","2659","2659","0.598","0.598","0.598"
"37762","2665","2665","2665","0.6041","0.6041","0.6041"
"37841","2670","2670","2670","0.601","0.601","0.601"
"37920","2676","2676","2676","0.604","0.604","0.604"
"37999","2681","2681","2681","0.6026","0.6026","0.6026"
"38078","2687","2687","2687","0.6086","0.6086","0.6086"
"38157","2693","2693","2693","0.6075","0.6075","0.6075"
"38236","2698","2698","2698","0.5992","0.5992","0.5992"
"38315","2704","2704","2704","0.6081","0.6081","0.6081"
"38394","2709","2709","2709","0.6072","0.6072","0.6072"
"38473","2715","2715","2715","0.6017","0.6017","0.6017"
"38552","2721","2721","2721","0.6032","0.6032","0.6032"
"38631","2726","2726","2726","0.6037","0.6037","0.6037"
"38710","2732","2732","2732","0.6044","0.6044","0.6044"
"38789","2737","2737","2737","0.6029","0.6029","0.6029"
"38868","2743","2743","2743","0.6007","0.6007","0.6007"
"38947","2748","2748","2748","0.607","0.607","0.607"
"39026","2754","2754","2754","0.6037","0.6037","0.6037"
"39105","2760","2760","2760","0.6051","0.6051","0.6051"
"39184","2765","2765","2765","0.6066","0.6066","0.6066"
"39263","2771","2771","2771","0.6059","0.6059","0.6059"
"39342","2776","2776","2776","0.5991","0.5991","0.5991"
"39421","2782","2782","2782","0.6056","0.6056","0.6056"
"39500","2788","2788","2788","0.6061","0.6061","0.6061"
"39579","2793","2793","2793","0.6024","0.6024","0.6024"
"39658","2799","2799","2799","0.6057","0.6057","0.6057"
"39737","2804","2804","2804","0.6043","0.6043","0.6043"
"39816","2810","2810","2810","0.6074","0.6074","0.6074"
"39895","2815","2815","2815","0.603","0.603","0.603"
"39974","2821","2821","2821","0.5985","0.5985","0.5985"
"40053","2827","2827","2827","0.5963","0.5963","0.5963"
"40132","2832","2832","2832","0.6065","0.6065","0.6065"
"40211","2838","2838","2838","0.6061","0.6061","0.6061"
"40290","2843","2843","2843","0.6082","0.6082","0.6082"
"40369","2849","2849","2849","0.6089","0.6089","0.6089"
"40448","2854","2854","2854","0.6048","0.6048","0.6048"
"40527","2860","2860","2860","0.5996","0.5996","0.5996"
"40606","2866","2866","2866","0.6026","0.6026","0.6026"
"40685","2871","2871","2871","0.6052","0.6052","0.6052"
"40764","2877","2877","2877","0.6112","0.6112","0.6112"
"40843","2882","2882","2882","0.6083","0.6083","0.6083"
"40922","2888","2888","2888","0.6057","0.6057","0.6057"
"41001","2894","2894","2894","0.6073","0.6073","0.6073"
"41080","2899","2899","2899","0.6061","0.6061","0.6061"
"41159","2905","2905","2905","0.6068","0.6068","0.6068"
"41238","2910","2910","2910","0.6032","0.6032","0.6032"
"41317","2916","2916","2916","0.608","0.608","0.608"
"41396","2921","2921","2921","0.6014","0.6014","0.6014"
"41475","2927","2927","2927","0.6073","0.6073","0.6073"
"41554","2933","2933","2933","0.6043","0.6043","0.6043"
"41633","2938","2938","2938","0.6118","0.6118","0.6118"
"41712","2944","2944","2944","0.6101","0.6101","0.6101"
"41791","2949","2949","2949","0.6105","0.6105","0.6105"
"41870","2955","2955","2955","0.6058","0.6058","0.6058"
"41949","2960","2960","2960","0.6024","0.6024","0.6024"
"42028","2966","2966","2966","0.608","0.608","0.608"
"42107","2972","2972","2972","0.6008","0.6008","0.6008"
"42186","2977","2977","2977","0.6134","0.6134","0.6134"
"42265","2983","2983","2983","0.608","0.608","0.608"
"42344","2988","2988","2988","0.6044","0.6044","0.6044"
"42423","2994","2994","2994","0.6077","0.6077","0.6077"
"42502","3000","3000","3000","0.6123","0.6123","0.6123"
"42581","3005","3005","3005","0.6038","0.6038","0.6038"
"42660","3011","3011","3011","0.6092","0.6092","0.6092"
"42739","3016","3016","3016","0.6102","0.6102","0.6102"
"42818","3022","3022","3022","0.6091","0.6091","0.6091"
"42897","3027","3027","3027","0.6097","0.6097","0.6097"
"42976","3033","3033","3033","0.6093","0.6093","0.6093"
"43055","3039","3039","3039","0.6064","0.6064","0.6064"
"43134","3044","3044","3044","0.608","0.608","0.608"
"43213","3050","3050","3050","0.6069","0.6069","0.6069"
"43292","3055","3055","3055","0.6054","0.6054","0.6054"
"43371","3061","3061","3061","0.6084","0.6084","0.6084"
"43450","3067","3067","3067","0.6032","0.6032","0.6032"
"43529","3072","3072","3072","0.6084","0.6084","0.6084"
"43608","3078","3078","3078","0.6039","0.6039","0.6039"
"43687","3083","3083","3083","0.6065","0.6065","0.6065"
"43766","3089","3089","3089","0.6071","0.6071","0.6071"
"43845","3094","3094","3094","0.606","0.606","0.606"
"43924","3100","3100","3100","0.6081","0.6081","0.6081"
"44003","3106","3106","3106","0.6125","0.6125","0.6125"
"44082","3111","3111","3111","0.6075","0.6075","0.6075"
"44161","3117","3117","3117","0.6052","0.6052","0.6052"
"44240","3122","3122","3122","0.6051","0.6051","0.6051"
"44319","3128","3128","3128","0.6076","0.6076","0.6076"
"44398","3133","3133","3133","0.6039","0.6039","0.6039"
"44477","3139","3139","3139","0.6124","0.6124","0.6124"
"44556","3145","3145","3145","0.6087","0.6087","0.6087"
"44635","3150","3150","3150","0.6081","0.6081","0.6081"
"44714","3156","3156","3156","0.6039","0.6039","0.6039"
"44793","3161","3161","3161","0.6123","0.6123","0.6123"
"44872","3167","3167","3167","0.6107","0.6107","0.6107"
"44951","3173","3173","3173","0.6111","0.6111","0.6111"
"45030","3178","3178","3178","0.6117","0.6117","0.6117"
"45109","3184","3184","3184","0.6026","0.6026","0.6026"
"45188","3189","3189","3189","0.6111","0.6111","0.6111"
"45267","3195","3195","3195","0.6079","0.6079","0.6079"
"45346","3200","3200","3200","0.6144","0.6144","0.6144"
"45425","3206","3206","3206","0.6103","0.6103","0.6103"
"45504","3212","3212","3212","0.6107","0.6107","0.6107"
"45583","3217","3217","3217","0.6076","0.6076","0.6076"
"45662","3223","3223","3223","0.616","0.616","0.616"
"45741","3228","3228","3228","0.6063","0.6063","0.6063"
"45820","3234","3234","3234","0.6094","0.6094","0.6094"
"45899","3239","3239","3239","0.6081","0.6081","0.6081"
"45978","3245","3245","3245","0.6062","0.6062","0.6062"
"46057","3251","3251","3251","0.6108","0.6108","0.6108"
"46136","3256","3256","3256","0.6121","0.6121","0.6121"
"46215","3262","3262","3262","0.6018","0.6018","0.6018"
"46294","3267","3267","3267","0.6062","0.6062","0.6062"
"46373","3273","3273","3273","0.6102","0.6102","0.6102"
"46452","3279","3279","3279","0.608","0.608","0.608"
"46531","3284","3284","3284","0.6085","0.6085","0.6085"
"46610","3290","3290","3290","0.6114","0.6114","0.6114"
"46689","3295","3295","3295","0.6097","0.6097","0.6097"
"46768","3301","3301","3301","0.6094","0.6094","0.6094"
"46847","3306","3306","3306","0.6045","0.6045","0.6045"
"46926","3312","3312","3312","0.6117","0.6117","0.6117"
"47005","3318","3318","3318","0.6064","0.6064","0.6064"
"47084","3323","3323","3323","0.6087","0.6087","0.6087"
"47163","3329","3329","3329","0.6044","0.6044","0.6044"
"47242","3334","3334","3334","0.6079","0.6079","0.6079"
"47321","3340","3340","3340","0.6091","0.6091","0.6091"
"47400","3346","3346","3346","0.6116","0.6116","0.6116"
"47479","3351","3351","3351","0.6113","0.6113","0.6113"
"47558","3357","3357","3357","0.6077","0.6077","0.6077"
"47637","3362","3362","3362","0.6091","0.6091","0.6091"
"47716","3368","3368","3368","0.6113","0.6113","0.6113"
"47795","3373","3373","3373","0.6125","0.6125","0.6125"
"47874","3379","3379","3379","0.6151","0.6151","0.6151"
"47953","3385","3385","3385","0.6158","0.6158","0.6158"
"48032","3390","3390","3390","0.6116","0.6116","0.6116"
"48111","3396","3396","3396","0.6146","0.6146","0.6146"
"48190","3401","3401","3401","0.6069","0.6069","0.6069"
"48269","3407","3407","3407","0.6148","0.6148","0.6148"
"48348","3412","3412","3412","0.61","0.61","0.61"
"48427","3418","3418","3418","0.6119","0.6119","0.6119"
"48506","3424","3424","3424","0.6066","0.6066","0.6066"
"48585","3429","3429","3429","0.6039","0.6039","0.6039"
"48664","3435","3435","3435","0.6131","0.6131","0.6131"
"48743","3440","3440","3440","0.6158","0.6158","0.6158"
"48822","3446","3446","3446","0.6097","0.6097","0.6097"
"48901","3452","3452","3452","0.6095","0.6095","0.6095"
"48980","3457","3457","3457","0.6065","0.6065","0.6065"
"49059","3463","3463","3463","0.6092","0.6092","0.6092"
"49138","3468","3468","3468","0.6123","0.6123","0.6123"
"49217","3474","3474","3474","0.6098","0.6098","0.6098"
"49296","3479","3479","3479","0.6088","0.6088","0.6088"
"49375","3485","3485","3485","0.6072","0.6072","0.6072"
"49454","3491","3491","3491","0.6072","0.6072","0.6072"
"49533","3496","3496","3496","0.6145","0.6145","0.6145"
"49612","3502","3502","3502","0.6122","0.6122","0.6122"
"49691","3507","3507","3507","0.6078","0.6078","0.6078"
"49770","3513","3513","3513","0.6085","0.6085","0.6085"
"49849","3518","3518","3518","0.6082","0.6082","0.6082"
"49928","3524","3524","3524","0.6068","0.6068","0.6068"
"50007","3530","3530","3530","0.6095","0.6095","0.6095"
"50086","3535","3535","3535","0.6107","0.6107","0.6107"
"50165","3541","3541","3541","0.6142","0.6142","0.6142"
"50244","3546","3546","3546","0.6103","0.6103","0.6103"
"50323","3552","3552","3552","0.6107","0.6107","0.6107"
"50402","3558","3558","3558","0.6134","0.6134","0.6134"
"50481","3563","3563","3563","0.6133","0.6133","0.6133"
"50560","3569","3569","3569","0.6104","0.6104","0.6104"
"50639","3574","3574","3574","0.6079","0.6079","0.6079"
"50718","3580","3580","3580","0.6091","0.6091","0.6091"
"50797","3585","3585","3585","0.6114","0.6114","0.6114"
"50876","3591","3591","3591","0.6111","0.6111","0.6111"
"50955","3597","3597","3597","0.6108","0.6108","0.6108"
"51034","3602","3602","3602","0.6127","0.6127","0.6127"
"51113","3608","3608","3608","0.6129","0.6129","0.6129"
"51192","3613","3613","3613","0.6153","0.6153","0.6153"
"51271","3619","3619","3619","0.612","0.612","0.612"
"51350","3625","3625","3625","0.6154","0.6154","0.6154"
"51429","3630","3630","3630","0.6118","0.6118","0.6118"
"51508","3636","3636","3636","0.6107","0.6107","0.6107"
"51587","3641","3641","3641","0.6107","0.6107","0.6107"
"51666","3647","3647","3647","0.6101","0.6101","0.6101"
"51745","3652","3652","3652","0.6146","0.6146","0.6146"
"51824","3658","3658","3658","0.6097","0.6097","0.6097"
"51903","3664","3664","3664","0.6103","0.6103","0.6103"
"51982","3669","3669","3669","0.611","0.611","0.611"
"52061","3675","3675","3675","0.6144","0.6144","0.6144"
"52140","3680","3680","3680","0.6088","0.6088","0.6088"
"52219","3686","3686","3686","0.6131","0.6131","0.6131"
"52298","3691","3691","3691","0.6088","0.6088","0.6088"
"52377","3697","3697","3697","0.6094","0.6094","0.6094"
"52456","3703","3703","3703","0.61","0.61","0.61"
"52535","3708","3708","3708","0.6113","0.6113","0.6113"
"52614","3714","3714","3714","0.6082","0.6082","0.6082"
"52693","3719","3719","3719","0.6095","0.6095","0.6095"
"52772","3725","3725","3725","0.6122","0.6122","0.6122"
"52851","3731","3731","3731","0.6109","0.6109","0.6109"
"52930","3736","3736","3736","0.6109","0.6109","0.6109"
"53009","3742","3742","3742","0.6098","0.6098","0.6098"
"53088","3747","3747","3747","0.6119","0.6119","0.6119"
"53167","3753","3753","3753","0.6107","0.6107","0.6107"
"53246","3758","3758","3758","0.6127","0.6127","0.6127"
"53325","3764","3764","3764","0.6104","0.6104","0.6104"
"53404","3770","3770","3770","0.6115","0.6115","0.6115"
"53483","3775","3775","3775","0.6143","0.6143","0.6143"
"53562","3781","3781","3781","0.611","0.611","0.611"
"53641","3786","3786","3786","0.6109","0.6109","0.6109"
"53720","3792","3792","3792","0.6129","0.6129","0.6129"
"53799","3797","3797","3797","0.6159","0.6159","0.6159"
"53878","3803","3803","3803","0.612","0.612","0.612"
"53957","3809","3809","3809","0.6106","0.6106","0.6106"
"54036","3814","3814","3814","0.6131","0.6131","0.6131"
"54115","3820","3820","3820","0.618","0.618","0.618"
"54194","3825","3825","3825","0.6149","0.6149","0.6149"
"54273","3831","3831","3831","0.6107","0.6107","0.6107"
"54352","3837","3837","3837","0.6111","0.6111","0.6111"
"54431","3842","3842","3842","0.6106","0.6106","0.6106"
"54510","3848","3848","3848","0.6163","0.6163","0.6163"
"54589","3853","3853","3853","0.6124","0.6124","0.6124"
"54668","3859","3859","3859","0.6134","0.6134","0.6134"
"54747","3864","3864","3864","0.6067","0.6067","0.6067"
"54826","3870","3870","3870","0.6106","0.6106","0.6106"
"54905","3876","3876","3876","0.6085","0.6085","0.6085"
"54984","3881","3881","3881","0.6101","0.6101","0.6101"
"55063","3887","3887","3887","0.6148","0.6148","0.6148"
"55142","3892","3892","3892","0.6156","0.6156","0.6156"
"55221","3898","3898","3898","0.6132","0.6132","0.6132"
"55300","3904","3904","3904","0.6111","0.6111","0.6111"
"55379","3909","3909","3909","0.6144","0.6144","0.6144"
"55458","3915","3915","3915","0.6137","0.6137","0.6137"
"55537","3920","3920","3920","0.6155","0.6155","0.6155"
"55616","3926","3926","3926","0.6131","0.6131","0.6131"
"55695","3931","3931","3931","0.6153","0.6153","0.6153"
"55774","3937","3937","3937","0.6095","0.6095","0.6095"
"55853","3943","3943","3943","0.6101","0.6101","0.6101"
"55932","3948","3948","3948","0.6148","0.6148","0.6148"
"56011","3954","3954","3954","0.6145","0.6145","0.6145"
"56090","3959","3959","3959","0.6189","0.6189","0.6189"
"56169","3965","3965","3965","0.6168","0.6168","0.6168"
"56248","3970","3970","3970","0.6114","0.6114","0.6114"
"56327","3976","3976","3976","0.609","0.609","0.609"
"56406","3982","3982","3982","0.6165","0.6165","0.6165"
"56485","3987","3987","3987","0.6106","0.6106","0.6106"
"56564","3993","3993","3993","0.6159","0.6159","0.6159"
"56643","3998","3998","3998","0.6107","0.6107","0.6107"
"56722","4004","4004","4004","0.6149","0.6149","0.6149"
"56801","4010","4010","4010","0.6137","0.6137","0.6137"
"56880","4015","4015","4015","0.6139","0.6139","0.6139"
"56959","4021","4021","4021","0.6118","0.6118","0.6118"
"57038","4026","4026","4026","0.613","0.613","0.613"
"57117","4032","4032","4032","0.6118","0.6118","0.6118"
"57196","4037","4037","4037","0.6128","0.6128","0.6128"
"57275","4043","4043","4043","0.6117","0.6117","0.6117"
"57354","4049","4049","4049","0.6124","0.6124","0.6124"
"57433","4054","4054","4054","0.6084","0.6084","0.6084"
"57512","4060","4060","4060","0.6193","0.6193","0.6193"
"57591","4065","4065","4065","0.6092","0.6092","0.6092"
"57670","4071","4071","4071","0.6116","0.6116","0.6116"
"57749","4076","4076","4076","0.6172","0.6172","0.6172"
"57828","4082","4082","4082","0.6154","0.6154","0.6154"
"57907","4088","4088","4088","0.6097","0.6097","0.6097"
"57986","4093","4093","4093","0.6117","0.6117","0.6117"
"58065","4099","4099","4099","0.6127","0.6127","0.6127"
"58144","4104","4104","4104","0.614","0.614","0.614"
"58223","4110","4110","4110","0.6128","0.6128","0.6128"
"58302","4116","4116","4116","0.612","0.612","0.612"
"58381","4121","4121","4121","0.6139","0.6139","0.6139"
"58460","4127","4127","4127","0.6152","0.6152","0.6152"
"58539","4132","4132","4132","0.6172","0.6172","0.6172"
"58618","4138","4138","4138","0.615","0.615","0.615"
"58697","4143","4143","4143","0.6127","0.6127","0.6127"
"58776","4149","4149","4149","0.6127","0.6127","0.6127"
"58855","4155","4155","4155","0.6184","0.6184","0.6184"
"58934","4160","4160","4160","0.6096","0.6096","0.6096"
"59013","4166","4166","4166","0.6106","0.6106","0.6106"
"59092","4171","4171","4171","0.6134","0.6134","0.6134"
"59171","4177","4177","4177","0.6129","0.6129","0.6129"
"59250","4183","4183","4183","0.614","0.614","0.614"
"59329","4188","4188","4188","0.6089","0.6089","0.6089"
"59408","4194","4194","4194","0.614","0.614","0.614"
"59487","4199","4199","4199","0.6126","0.6126","0.6126"
"59566","4205","4205","4205","0.615","0.615","0.615"
"59645","4210","4210","4210","0.6159","0.6159","0.6159"
"59724","4216","4216","4216","0.6158","0.6158","0.6158"
"59803","4222","4222","4222","0.6135","0.6135","0.6135"
"59882","4227","4227","4227","0.6122","0.6122","0.6122"
"59961","4233","4233","4233","0.6148","0.6148","0.6148"
"60040","4238","4238","4238","0.6117","0.6117","0.6117"
"60119","4244","4244","4244","0.612","0.612","0.612"
"60198","4249","4249","4249","0.6146","0.6146","0.6146"
"60277","4255","4255","4255","0.6095","0.6095","0.6095"
"60356","4261","4261","4261","0.6123","0.6123","0.6123"
"60435","4266","4266","4266","0.6073","0.6073","0.6073"
"60514","4272","4272","4272","0.6132","0.6132","0.6132"
"60593","4277","4277","4277","0.613","0.613","0.613"
"60672","4283","4283","4283","0.6095","0.6095","0.6095"
"60751","4289","4289","4289","0.615","0.615","0.615"
"60830","4294","4294","4294","0.6177","0.6177","0.6177"
"60909","4300","4300","4300","0.611","0.611","0.611"
"60988","4305","4305","4305","0.6096","0.6096","0.6096"
"61067","4311","4311","4311","0.6103","0.6103","0.6103"
"61146","4316","4316","4316","0.6131","0.6131","0.6131"
"61225","4322","4322","4322","0.6136","0.6136","0.6136"
"61304","4328","4328","4328","0.6112","0.6112","0.6112"
"61383","4333","4333","4333","0.6169","0.6169","0.6169"
"61462","4339","4339","4339","0.6105","0.6105","0.6105"
"61541","4344","4344","4344","0.6078","0.6078","0.6078"
"61620","4350","4350","4350","0.61","0.61","0.61"
"61699","4355","4355","4355","0.6136","0.6136","0.6136"
"61778","4361","4361","4361","0.6172","0.6172","0.6172"
"61857","4367","4367","4367","0.6121","0.6121","0.6121"
"61936","4372","4372","4372","0.6124","0.6124","0.6124"
"62015","4378","4378","4378","0.6157","0.6157","0.6157"
"62094","4383","4383","4383","0.6137","0.6137","0.6137"
"62173","4389","4389","4389","0.6114","0.6114","0.6114"
"62252","4395","4395","4395","0.6155","0.6155","0.6155"
"62331","4400","4400","4400","0.6097","0.6097","0.6097"
"62410","4406","4406","4406","0.6119","0.6119","0.6119"
"62489","4411","4411","4411","0.6134","0.6134","0.6134"
"62568","4417","4417","4417","0.6121","0.6121","0.6121"
"62647","4422","4422","4422","0.6138","0.6138","0.6138"
"62726","4428","4428","4428","0.6134","0.6134","0.6134"
"62805","4434","4434","4434","0.615","0.615","0.615"
"62884","4439","4439","4439","0.6124","0.6124","0.6124"
"62963","4445","4445","4445","0.6114","0.6114","0.6114"
"63042","4450","4450","4450","0.6107","0.6107","0.6107"
"63121","4456","4456","4456","0.612","0.612","0.612"
"63200","4462","4462","4462","0.6101","0.6101","0.6101"
