"Step","debug/lpl_local_top-down_errCorr_a2.0_1T - _step","debug/lpl_local_top-down_errCorr_a2.0_1T - _step__MIN","debug/lpl_local_top-down_errCorr_a2.0_1T - _step__MAX","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MIN","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MAX"
"9085","639","639","639","0.522","0.522","0.522"
"9164","645","645","645","0.5277","0.5277","0.5277"
"9243","650","650","650","0.5341","0.5341","0.5341"
"9322","656","656","656","0.5271","0.5271","0.5271"
"9401","662","662","662","0.5253","0.5253","0.5253"
"9480","667","667","667","0.5305","0.5305","0.5305"
"9559","673","673","673","0.5312","0.5312","0.5312"
"9638","678","678","678","0.5287","0.5287","0.5287"
"9717","684","684","684","0.5286","0.5286","0.5286"
"9796","689","689","689","0.5315","0.5315","0.5315"
"9875","695","695","695","0.5325","0.5325","0.5325"
"9954","701","701","701","0.5349","0.5349","0.5349"
"10033","706","706","706","0.5338","0.5338","0.5338"
"10112","712","712","712","0.5416","0.5416","0.5416"
"10191","717","717","717","0.5293","0.5293","0.5293"
"10270","723","723","723","0.5371","0.5371","0.5371"
"10349","728","728","728","0.5348","0.5348","0.5348"
"10428","734","734","734","0.544","0.544","0.544"
"10507","740","740","740","0.5395","0.5395","0.5395"
"10586","745","745","745","0.545","0.545","0.545"
"10665","751","751","751","0.5394","0.5394","0.5394"
"10744","756","756","756","0.5433","0.5433","0.5433"
"10823","762","762","762","0.5458","0.5458","0.5458"
"10902","768","768","768","0.5485","0.5485","0.5485"
"10981","773","773","773","0.5488","0.5488","0.5488"
"11060","779","779","779","0.5414","0.5414","0.5414"
"11139","784","784","784","0.5475","0.5475","0.5475"
"11218","790","790","790","0.5489","0.5489","0.5489"
"11297","795","795","795","0.5466","0.5466","0.5466"
"11376","801","801","801","0.5487","0.5487","0.5487"
"11455","807","807","807","0.5559","0.5559","0.5559"
"11534","812","812","812","0.5517","0.5517","0.5517"
"11613","818","818","818","0.5504","0.5504","0.5504"
"11692","823","823","823","0.5542","0.5542","0.5542"
"11771","829","829","829","0.5543","0.5543","0.5543"
"11850","835","835","835","0.5592","0.5592","0.5592"
"11929","840","840","840","0.5574","0.5574","0.5574"
"12008","846","846","846","0.5553","0.5553","0.5553"
"12087","851","851","851","0.5454","0.5454","0.5454"
"12166","857","857","857","0.5604","0.5604","0.5604"
"12245","862","862","862","0.5605","0.5605","0.5605"
"12324","868","868","868","0.5572","0.5572","0.5572"
"12403","874","874","874","0.5547","0.5547","0.5547"
"12482","879","879","879","0.5628","0.5628","0.5628"
"12561","885","885","885","0.556","0.556","0.556"
"12640","890","890","890","0.56","0.56","0.56"
"12719","896","896","896","0.5622","0.5622","0.5622"
"12798","901","901","901","0.5653","0.5653","0.5653"
"12877","907","907","907","0.5623","0.5623","0.5623"
