"Name","alpha_error","decorr_coeff","distance_top_down","error_nb_updates","experiment_name","random_seed","symmetric_topdown","topdown","topdown_coeff","train_end_to_end","train_with_supervision","use_negative_samples","Created","Runtime","End Time","ID","Notes","State","Updated","Cosine Metrics/cross_class_mean_cosine","Cosine Metrics/ratio","Cosine Metrics/within_class_mean_cosine","Layerwise train losses/Final layer decorr loss","Layerwise train losses/Final layer pull loss","Layerwise train losses/Final layer push loss","Layerwise train losses/Layer 1 decorr loss","Layerwise train losses/Layer 1 pull loss","Layerwise train losses/Layer 1 push loss","Layerwise train losses/Layer 1 topdown loss","Layerwise train losses/Layer 2 decorr loss","Layerwise train losses/Layer 2 pull loss","Layerwise train losses/Layer 2 push loss","Layerwise train losses/Layer 2 topdown loss","Layerwise train losses/Layer 3 decorr loss","Layerwise train losses/Layer 3 pull loss","Layerwise train losses/Layer 3 push loss","Layerwise train losses/Layer 3 topdown loss","Layerwise train losses/Layer 4 decorr loss","Layerwise train losses/Layer 4 pull loss","Layerwise train losses/Layer 4 push loss","Layerwise train losses/Layer 4 topdown loss","Layerwise train losses/Layer 5 decorr loss","Layerwise train losses/Layer 5 pull loss","Layerwise train losses/Layer 5 push loss","Layerwise train losses/Layer 5 topdown loss","Layerwise train losses/Layer 6 decorr loss","Layerwise train losses/Layer 6 pull loss","Layerwise train losses/Layer 6 push loss","Layerwise train losses/Layer 6 topdown loss","Layerwise train losses/Layer 7 decorr loss","Layerwise train losses/Layer 7 pull loss","Layerwise train losses/Layer 7 push loss","Layerwise train losses/Layer 7 topdown loss","Layerwise validation losses/Final layer decorr loss","Layerwise validation losses/Final layer pull loss","Layerwise validation losses/Final layer push loss","Layerwise validation losses/Layer 1 decorr loss","Layerwise validation losses/Layer 1 pull loss","Layerwise validation losses/Layer 1 push loss","Layerwise validation losses/Layer 1 topdown loss","Layerwise validation losses/Layer 2 decorr loss","Layerwise validation losses/Layer 2 pull loss","Layerwise validation losses/Layer 2 push loss","Layerwise validation losses/Layer 2 topdown loss","Layerwise validation losses/Layer 3 decorr loss","Layerwise validation losses/Layer 3 pull loss","Layerwise validation losses/Layer 3 push loss","Layerwise validation losses/Layer 3 topdown loss","Layerwise validation losses/Layer 4 decorr loss","Layerwise validation losses/Layer 4 pull loss","Layerwise validation losses/Layer 4 push loss","Layerwise validation losses/Layer 4 topdown loss","Layerwise validation losses/Layer 5 decorr loss","Layerwise validation losses/Layer 5 pull loss","Layerwise validation losses/Layer 5 push loss","Layerwise validation losses/Layer 5 topdown loss","Layerwise validation losses/Layer 6 decorr loss","Layerwise validation losses/Layer 6 pull loss","Layerwise validation losses/Layer 6 push loss","Layerwise validation losses/Layer 6 topdown loss","Layerwise validation losses/Layer 7 decorr loss","Layerwise validation losses/Layer 7 pull loss","Layerwise validation losses/Layer 7 push loss","Layerwise validation losses/Layer 7 topdown loss","Loss/decorr_total_train_epoch","Loss/decorr_total_train_step","Loss/decorr_total_val","Loss/pull_total_train_epoch","Loss/pull_total_train_step","Loss/pull_total_val","Loss/push_total_train_epoch","Loss/push_total_train_step","Loss/push_total_val","Loss/topdown_total_train_epoch","Loss/topdown_total_train_step","Loss/topdown_total_val","Loss/train_loss_epoch","Loss/train_loss_step","Loss/val_loss","Manifold Metrics/global_radius","Manifold Metrics/mean_class_correlation","Manifold Metrics/mean_class_dim","Manifold Metrics/mean_class_radius","Performance/linear_readout_acc","Push Metrics/cosine_push","Push Metrics/kl_push","Push Metrics/swd_gaussian_push","Push Metrics/swd_hypercube_push","Push Metrics/swd_hypersphere_push","Push Metrics/uniformity_push","epoch","trainer/global_step","Tags"
"ext_detached_cbe/lpl_local_top-down_errCorr_a2.0_1T","2","10","1","1","ext_detached_cbe","69","false","true","1","false","false","false","2024-07-11T12:28:01.000Z","1661","2024-07-11T12:55:42.000Z","jykm6jyi","-","finished","2024-07-11T12:55:42.000Z","-0.006541457027196884","13.03961181640625","0.08529806137084961","0.017995484173297882","0.6808502674102783","0.42781439423561096","0.02354629337787628","0.5016043186187744","1.0964477062225342","0","0.014749704860150814","0.6894289255142212","0.6606132388114929","0","0.0134388143196702","0.7293457388877869","0.4624119997024536","0","0.01183368731290102","0.7762796878814697","0.415692538022995","0","0.014624051749706268","0.7202243804931641","0.40022045373916626","0","0.015263454057276247","0.7299429774284363","0.4062606990337372","0","","","","","0.016001222655177116","0.6748383045196533","0.4475606083869934","0.024505510926246643","0.5180392861366272","1.0771892070770264","0","0.01532225962728262","0.7109668254852295","0.6371811628341675","0","0.01167569775134325","0.7064782977104187","0.5114820003509521","0","0.010101240128278732","0.7418023347854614","0.4710704088211059","0","0.012297955341637136","0.6848343014717102","0.4596961438655853","0","0.013726803474128246","0.7116429805755615","0.439297080039978","0","","","","","1.1145150661468506","1.209381937980652","1.036306858062744","4.827676773071289","5.240466594696045","4.748602867126465","3.869461059570313","3.455169439315796","4.0434770584106445","0","0","0","9.811653137207031","9.905017852783203","9.828386306762695","14.213610649108888","0.974498689174652","15.27123737335205","0.9573556184768676","0.5052","0.8847028613090515","3.139871597290039","6.047689914703369","5.9187493324279785","0.0029621203429996967","-0.23523163795471191","63","4999",""
"base/base_negative_samples_local","","0","1","","base","3407","false","false","20","false","false","true","2024-07-03T14:48:13.000Z","3324","2024-07-03T15:43:37.000Z","12y58azv","-","finished","2024-07-03T15:43:37.000Z","0.041308946907520294","6.5496063232421875","0.27055734395980835","0.5551332235336304","-0.6789410710334778","0.2220633774995804","0.00008356302714673802","-0.6605716943740845","0.29692864418029785","0","2.7743141117753112e-11","-0.6751351356506348","0.2306103557348251","0","3.6850269363730703e-11","-0.6713929176330566","0.2163646370172501","0","4.999233915725654e-9","-0.6774932146072388","0.221456915140152","0","2.106291319137199e-8","-0.6799276471138","0.2214682251214981","0","0.00000696509778208565","-0.6766346096992493","0.2164906859397888","0","0.0006213366868905723","-0.6774817109107971","0.218737855553627","0","0.47665467858314514","-0.670028567314148","0.22312773764133453","0.00007420947804348543","-0.6545534729957581","0.29301542043685913","0","2.4552030547519976e-11","-0.671916663646698","0.22786669433116913","0","3.1082712792507294e-11","-0.6631770730018616","0.21451658010482788","0","4.017246979515221e-9","-0.6742608547210693","0.2256062775850296","0","1.7057145029752974e-8","-0.6747862696647644","0.22168175876140592","0","0.000005539678568311501","-0.6701709032058716","0.21556423604488373","0","0.000497800821904093","-0.6688702702522278","0.21729734539985657","0","0","0","0","-5.397578239440918","-5.588615417480469","-5.347764492034912","1.844120740890503","1.8378045558929443","1.8386762142181396","0","0","0","-3.553457498550415","-3.750810861587525","-3.5090878009796143","26.588693618774418","0.6070055961608887","3.969283819198608","0.8788296580314636","0.3672","0.19520437717437744","3.106781005859375","1.1577526330947876","1.550989270210266","0.0009165092487819492","-1.955276370048523","63","4999",""
"base/base_supervised_local","","10","1","","base","3407","false","false","20","false","true","false","2024-07-03T13:47:30.000Z","2521","2024-07-03T14:29:31.000Z","yptnn681","-","finished","2024-07-03T14:29:31.000Z","-0.025699764490127563","17.72265625","0.455468088388443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.001267433166504","11.862102508544922","12.070033073425291","41.481197357177734","0.36295199394226074","4.3853440284729","0.7433691620826721","0.7227","0.14589321613311768","5.385629653930664","2.602824449539185","3.5623703002929688","0.0007504232344217598","-2.2568092346191406","63","4999",""
"base/lpl_local","","10","1","","base","3407","false","false","20","false","false","false","2024-07-03T12:42:15.000Z","3241","2024-07-03T13:36:16.000Z","wenzyifb","-","finished","2024-07-03T13:36:16.000Z","-0.0031087452080100775","21.06378936767578","0.06548195332288742","0.015741806477308273","0.7911185622215271","0.7506259679794312","0.024557074531912804","0.5042784214019775","1.06587553024292","0","0.01506741065531969","0.6813947558403015","0.7835902571678162","0","0.014576836489140987","0.694879412651062","0.6478073000907898","0","0.012705517932772636","0.7572608590126038","0.5014634132385254","0","0.013991073705255984","0.7349467873573303","0.4655722677707672","0","0.013778689317405224","0.7447337508201599","0.4562148153781891","0","0.015289729461073875","0.6813894510269165","0.5131844878196716","0","0.02247905731201172","0.9616657495498656","0.5798559784889221","0.023945828899741173","0.5103682279586792","1.0728875398635864","0","0.01495385728776455","0.67597496509552","0.7960814833641052","0","0.01454970706254244","0.6858495473861694","0.653465747833252","0","0.013964693062007427","0.7801450490951538","0.461104154586792","0","0.015828758478164673","0.7595813274383545","0.4169290065765381","0","0.02058518119156361","0.8596013784408569","0.2882523536682129","0","0.027939267456531525","0.8819748163223267","0.22974516451358795","0","1.2570815086364746","1.3159464597702026","1.5424634218215942","5.590002536773682","5.454118728637695","6.1151604652404785","5.184333324432373","5.08236026763916","4.498322486877441","0","0","0","12.031416893005373","11.852425575256348","12.155946731567385","23.434614181518555","0.9763478636741638","17.524585723876953","0.97066068649292","0.4538","0.7823254466056824","4.285844802856445","8.284865379333496","8.536656379699707","0.002588922157883644","-0.4435755312442779","63","4999",""
